Iterations; Total; Bailout Calculation; Kernel Enqueue; Kernel Run; Texture Generation; Unmap Buffer; Pixel Display; Frames Per Second; Overhead
129; 5.610594; 0.000241; 0.012672; 2.943040; 2.183990; 0.000958; 0.469642; 17.823426; 0.000052
130; 5.715282; 0.000222; 0.013269; 2.875661; 2.368199; 0.000904; 0.456982; 17.496948; 0.000046
131; 5.656595; 0.000276; 0.012795; 2.996870; 2.206811; 0.000883; 0.438912; 17.678480; 0.000048
132; 5.678322; 0.000225; 0.012943; 3.011920; 2.224680; 0.000810; 0.427701; 17.610837; 0.000043
133; 5.892225; 0.000208; 0.015470; 2.906580; 2.517443; 0.000960; 0.451507; 16.971518; 0.000056
134; 5.915110; 0.000268; 0.014297; 2.904257; 2.486011; 0.000975; 0.509250; 16.905856; 0.000053
135; 5.912863; 0.000232; 0.015194; 2.980913; 2.411768; 0.000938; 0.503766; 16.912280; 0.000053
136; 5.826425; 0.000253; 0.012229; 3.172685; 2.176900; 0.000857; 0.463453; 17.163184; 0.000047
137; 5.851385; 0.000196; 0.012417; 3.180055; 2.197125; 0.000946; 0.460595; 17.089971; 0.000052
138; 5.887432; 0.000216; 0.013099; 3.208359; 2.217365; 0.000895; 0.447444; 16.985334; 0.000054
139; 5.904944; 0.000239; 0.012753; 3.220843; 2.241075; 0.000838; 0.429147; 16.934963; 0.000049
140; 6.013628; 0.000246; 0.014031; 3.145259; 2.390089; 0.000949; 0.463014; 16.628896; 0.000040
141; 5.981383; 0.000220; 0.012487; 3.264092; 2.257691; 0.000929; 0.445906; 16.718542; 0.000058
142; 5.987845; 0.000204; 0.012772; 3.322406; 2.199609; 0.000877; 0.451922; 16.700499; 0.000054
143; 6.031902; 0.000220; 0.012473; 3.366553; 2.206157; 0.000876; 0.445578; 16.578520; 0.000044
144; 6.068831; 0.000187; 0.013345; 3.417108; 2.228287; 0.000859; 0.409001; 16.477639; 0.000044
145; 6.108707; 0.000228; 0.012482; 3.324569; 2.340000; 0.000880; 0.430501; 16.370077; 0.000047
146; 6.121222; 0.000197; 0.012658; 3.403068; 2.257019; 0.000839; 0.447402; 16.336608; 0.000039
147; 6.144706; 0.000237; 0.013511; 3.467476; 2.235565; 0.000848; 0.427020; 16.274172; 0.000049
148; 6.206491; 0.000231; 0.013552; 3.493791; 2.234589; 0.000843; 0.463438; 16.112165; 0.000046
149; 6.294679; 0.000222; 0.014136; 3.478138; 2.376109; 0.000940; 0.425088; 15.886433; 0.000045
150; 6.252951; 0.000203; 0.013034; 3.483997; 2.277635; 0.000933; 0.477101; 15.992448; 0.000048
151; 6.268086; 0.000212; 0.013477; 3.534788; 2.301742; 0.000861; 0.416959; 15.953832; 0.000048
152; 6.301454; 0.000211; 0.013261; 3.554695; 2.287699; 0.000852; 0.444694; 15.869353; 0.000042
153; 6.321645; 0.000216; 0.012952; 3.604060; 2.319044; 0.000871; 0.384450; 15.818667; 0.000052
154; 6.461644; 0.000302; 0.015712; 3.675001; 2.275948; 0.000891; 0.493744; 15.475939; 0.000045
155; 6.485649; 0.000235; 0.012903; 3.594565; 2.386820; 0.000940; 0.490112; 15.418656; 0.000075
156; 6.574921; 0.000228; 0.013302; 3.681221; 2.381686; 0.000967; 0.497474; 15.209309; 0.000043
157; 6.563052; 0.000215; 0.013924; 3.584380; 2.478211; 0.000933; 0.485341; 15.236815; 0.000048
158; 6.495086; 0.000210; 0.013454; 3.687628; 2.321624; 0.000893; 0.471220; 15.396256; 0.000057
159; 6.619976; 0.000239; 0.016099; 3.600191; 2.487277; 0.000880; 0.515230; 15.105795; 0.000059
160; 6.592373; 0.000263; 0.013848; 3.738392; 2.350507; 0.000884; 0.488416; 15.169045; 0.000063
161; 6.585218; 0.000222; 0.014422; 3.782005; 2.378403; 0.000841; 0.409275; 15.185525; 0.000050
162; 6.625963; 0.000202; 0.013285; 3.818596; 2.340087; 0.000911; 0.452827; 15.092145; 0.000055
163; 6.671585; 0.000193; 0.013476; 3.810656; 2.392997; 0.000884; 0.453328; 14.988941; 0.000052
164; 6.666303; 0.000213; 0.013171; 3.843573; 2.354364; 0.000858; 0.454075; 15.000819; 0.000049
165; 6.692867; 0.000240; 0.013724; 3.860865; 2.385520; 0.000848; 0.431613; 14.941281; 0.000058
166; 6.695110; 0.000195; 0.014402; 3.947840; 2.437335; 0.000829; 0.294457; 14.936275; 0.000052
167; 6.758063; 0.000204; 0.014085; 3.977994; 2.374786; 0.000903; 0.390050; 14.797138; 0.000042
168; 6.863604; 0.000232; 0.013888; 3.896333; 2.477275; 0.000983; 0.474845; 14.569605; 0.000048
169; 6.838091; 0.000224; 0.013628; 3.983005; 2.347095; 0.000884; 0.493208; 14.623964; 0.000047
170; 6.867293; 0.000192; 0.013596; 3.973789; 2.376705; 0.000899; 0.502061; 14.561779; 0.000051
171; 6.881958; 0.000229; 0.013782; 4.029406; 2.436841; 0.000891; 0.400760; 14.530749; 0.000049
172; 6.984922; 0.000207; 0.013887; 4.051075; 2.481764; 0.000859; 0.437075; 14.316552; 0.000055
173; 6.933262; 0.000235; 0.014452; 4.119926; 2.428275; 0.000815; 0.369508; 14.423226; 0.000051
174; 6.977467; 0.000262; 0.013921; 4.119024; 2.422955; 0.000855; 0.420398; 14.331849; 0.000052
175; 7.007060; 0.000224; 0.013763; 4.166920; 2.427944; 0.000930; 0.397228; 14.271321; 0.000051
176; 7.144378; 0.000208; 0.014165; 4.186027; 2.486530; 0.000900; 0.456507; 13.997021; 0.000042
177; 7.088061; 0.000217; 0.014221; 4.208448; 2.429196; 0.000833; 0.435088; 14.108231; 0.000057
178; 7.136412; 0.000248; 0.014162; 4.174444; 2.490690; 0.000945; 0.455866; 14.012644; 0.000057
